ID,cateID,size,yobi,gaikei,anakei,cate_name,atsusa
1,2,M6,NULL,6,6.2～6.4,ISO/管用ﾒｰﾄﾙねじ,NULL
2,2,M8,NULL,8,8.3～8.6,ISO/管用ﾒｰﾄﾙねじ,NULL
3,2,M10,NULL,10,10.4～10.8,ISO/管用ﾒｰﾄﾙねじ,NULL
4,2,M12,NULL,12,12.4～12.8,ISO/管用ﾒｰﾄﾙねじ,NULL
5,3,Pg7,NULL,12.5,12.9～13.3,DINﾄﾞｲﾂねじ,NULL
6,1,G1/4,8A,13.8,13.5～13.9,ISO/管用平行ねじ(旧PF),2.3
7,3,Pg9,NULL,15.2,15.6～16.0,DINﾄﾞｲﾂねじ,NULL
8,2,M16,NULL,16,16.4～16.8,ISO/管用ﾒｰﾄﾙねじ,NULL
9,1,G3/8,10A,17.3,17.0～17.4,ISO/管用平行ねじ(旧PF),2.3
10,4,NPT3/8,NULL,17,-,ｱﾒﾘｶﾃｰﾊﾟｰねじ,NULL
11,3,Pg11,NULL,18.6,19.0～19.4,DINﾄﾞｲﾂねじ,NULL
12,2,M20,NULL,20,20.5～21.0,ISO/管用ﾒｰﾄﾙねじ,NULL
13,3,Pg13.5,NULL,20.4,20.9～21.4,DINﾄﾞｲﾂねじ,NULL
14,1,G1/2,15A,21.7,21.4～21.9,ISO/管用平行ねじ(旧PF),2.8
15,4,NPT1/2,NULL,21.2,-,ｱﾒﾘｶﾃｰﾊﾟｰねじ,NULL
16,3,Pg16,NULL,22.5,23.0～23.5,DINﾄﾞｲﾂねじ,NULL
17,2,M25,NULL,25,25.5～26.0,ISO/管用ﾒｰﾄﾙねじ,NULL
18,1,G3/4,20A,27.2,26.9～27.4,ISO/管用平行ねじ(旧PF),2.8
19,4,NPT3/4,NULL,26.6,-,ｱﾒﾘｶﾃｰﾊﾟｰねじ,NULL
20,3,Pg21,NULL,28.3,28.8～29.3,DINﾄﾞｲﾂねじ,NULL
21,2,M32,NULL,32,32.6～33.2,ISO/管用ﾒｰﾄﾙねじ,NULL
22,1,G1,25A,34,33.8～34.4,ISO/管用平行ねじ(旧PF),3.2
23,4,NPT1,NULL,33.2,33.8～34.4,ｱﾒﾘｶﾃｰﾊﾟｰねじ,NULL
24,3,Pg29,NULL,37,37.6～38.2,DINﾄﾞｲﾂねじ,NULL
25,2,M40,NULL,40,40.6～41.2,ISO/管用ﾒｰﾄﾙねじ,NULL
26,1,G1-1/4,32A,42.7,42.5～43.1,ISO/管用平行ねじ(旧PF),3.5
27,3,Pg36,NULL,47,47.6～48.2,DINﾄﾞｲﾂねじ,NULL
28,1,G1-1/2,40A,48.6,48.4～49.0,ISO/管用平行ねじ(旧PF),3.5
29,2,M50,NULL,50,50.6～51.2,ISO/管用ﾒｰﾄﾙねじ,NULL
30,3,Pg42,NULL,54,54.8～55.6,DINﾄﾞｲﾂねじ,NULL
31,3,Pg48,NULL,59.3,60.1～60.9,DINﾄﾞｲﾂねじ,NULL
32,1,G2,50A,60.5,60.4～61.2,ISO/管用平行ねじ(旧PF),3.8
33,2,M63,NULL,63,63.8～64.6,ISO/管用ﾒｰﾄﾙねじ,NULL
34,2,M75,NULL,75,75.8～76.6,ISO/管用ﾒｰﾄﾙねじ,NULL
35,1,G3,80A,89.1,88.8～89.8,ISO/管用平行ねじ(旧PF),4.2
36,2,M90,NULL,90,91.0～92.0,ISO/管用ﾒｰﾄﾙねじ,NULL
37,2,M100,NULL,100,101～102,ISO/管用ﾒｰﾄﾙねじ,NULL
38,1,G1/8,6A,10.5,NULL,ISO/管用平行ねじ(旧PF),2.0
39,1,G2･1/2,65A,76.3,NULL,NULL,4.2
40,1,G3･1/2,90A,101.6,NULL,NULL,4.2
41,1,G4,100A,114.3,NULL,NULL,4.5
42,1,G5,125A,139.8,NULL,NULL,4.5
43,1,G6,150A,165.2,NULL,NULL,5.0
44,1,G7,175A,190.7,NULL,NULL,5.3
45,1,G8,200A,216.3,NULL,NULL,5.8
46,1,G9,225A,241.8,NULL,NULL,6.2
47,1,G10,250A,267.4,NULL,NULL,6.6
48,1,G12,300A,318.5,NULL,NULL,6.9
49,1,G14,350A,355.6,NULL,NULL,7.9
50,1,G16,400A,406.4,NULL,NULL,7.9
51,1,G18,450A,457.2,NULL,NULL,7.9
52,1,G20,500A,508,NULL,NULL,7.9
